seed,event_index,opaque_edit,scope_status,representation,budget,operating_point,positive_tpr,hard_fpr,broad_fpr
20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,R0_MAGNITUDE_LAST_PROMPT,200,COVERAGE_CONSTRAINED,1.0,0.0,0.0
20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,R0_MAGNITUDE_LAST_PROMPT,200,SAFETY_FIRST,1.0,0.0,0.0
20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,R0_MAGNITUDE_LAST_PROMPT,800,COVERAGE_CONSTRAINED,1.0,0.0,0.0
20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,R0_MAGNITUDE_LAST_PROMPT,800,SAFETY_FIRST,1.0,0.0,0.0
20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,R1_SIGNED_CP_RESPONSE,200,COVERAGE_CONSTRAINED,0.75,0.0,0.0
20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,R1_SIGNED_CP_RESPONSE,200,SAFETY_FIRST,0.75,0.0,0.0
20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,R1_SIGNED_CP_RESPONSE,800,COVERAGE_CONSTRAINED,1.0,0.0,0.0
20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,R1_SIGNED_CP_RESPONSE,800,SAFETY_FIRST,1.0,0.0,0.0
20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,R2_VISUAL_CONDITIONED_CP_RESPONSE,200,COVERAGE_CONSTRAINED,1.0,0.0,0.0
20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,R2_VISUAL_CONDITIONED_CP_RESPONSE,200,SAFETY_FIRST,1.0,0.0,0.0
20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,R2_VISUAL_CONDITIONED_CP_RESPONSE,800,COVERAGE_CONSTRAINED,1.0,0.0,0.0
20260906,1,01223e258bbc7a1f,HARD_EVALUABLE,R2_VISUAL_CONDITIONED_CP_RESPONSE,800,SAFETY_FIRST,1.0,0.0,0.0
20260906,2,1534fc99d84ef734,HARD_EVALUABLE,R0_MAGNITUDE_LAST_PROMPT,200,COVERAGE_CONSTRAINED,1.0,0.0,0.0
20260906,2,1534fc99d84ef734,HARD_EVALUABLE,R0_MAGNITUDE_LAST_PROMPT,200,SAFETY_FIRST,1.0,0.0,0.0
20260906,2,1534fc99d84ef734,HARD_EVALUABLE,R0_MAGNITUDE_LAST_PROMPT,800,COVERAGE_CONSTRAINED,1.0,0.0,0.0
20260906,2,1534fc99d84ef734,HARD_EVALUABLE,R0_MAGNITUDE_LAST_PROMPT,800,SAFETY_FIRST,1.0,0.0,0.0
20260906,2,1534fc99d84ef734,HARD_EVALUABLE,R1_SIGNED_CP_RESPONSE,200,COVERAGE_CONSTRAINED,1.0,0.0,0.0
20260906,2,1534fc99d84ef734,HARD_EVALUABLE,R1_SIGNED_CP_RESPONSE,200,SAFETY_FIRST,1.0,0.0,0.0
20260906,2,1534fc99d84ef734,HARD_EVALUABLE,R1_SIGNED_CP_RESPONSE,800,COVERAGE_CONSTRAINED,1.0,0.0,0.0
20260906,2,1534fc99d84ef734,HARD_EVALUABLE,R1_SIGNED_CP_RESPONSE,800,SAFETY_FIRST,1.0,0.0,0.0
20260906,2,1534fc99d84ef734,HARD_EVALUABLE,R2_VISUAL_CONDITIONED_CP_RESPONSE,200,COVERAGE_CONSTRAINED,1.0,0.0,0.0
20260906,2,1534fc99d84ef734,HARD_EVALUABLE,R2_VISUAL_CONDITIONED_CP_RESPONSE,200,SAFETY_FIRST,1.0,0.0,0.0
20260906,2,1534fc99d84ef734,HARD_EVALUABLE,R2_VISUAL_CONDITIONED_CP_RESPONSE,800,COVERAGE_CONSTRAINED,1.0,0.0,0.0
20260906,2,1534fc99d84ef734,HARD_EVALUABLE,R2_VISUAL_CONDITIONED_CP_RESPONSE,800,SAFETY_FIRST,1.0,0.0,0.0
20260906,3,1b0d2271e842e01a,HARD_EVALUABLE,R0_MAGNITUDE_LAST_PROMPT,200,COVERAGE_CONSTRAINED,1.0,0.0,0.0
20260906,3,1b0d2271e842e01a,HARD_EVALUABLE,R0_MAGNITUDE_LAST_PROMPT,200,SAFETY_FIRST,1.0,0.0,0.0
20260906,3,1b0d2271e842e01a,HARD_EVALUABLE,R0_MAGNITUDE_LAST_PROMPT,800,COVERAGE_CONSTRAINED,1.0,0.0,0.0
20260906,3,1b0d2271e842e01a,HARD_EVALUABLE,R0_MAGNITUDE_LAST_PROMPT,800,SAFETY_FIRST,1.0,0.0,0.0
20260906,3,1b0d2271e842e01a,HARD_EVALUABLE,R1_SIGNED_CP_RESPONSE,200,COVERAGE_CONSTRAINED,1.0,0.0,0.0
20260906,3,1b0d2271e842e01a,HARD_EVALUABLE,R1_SIGNED_CP_RESPONSE,200,SAFETY_FIRST,1.0,0.0,0.0
20260906,3,1b0d2271e842e01a,HARD_EVALUABLE,R1_SIGNED_CP_RESPONSE,800,COVERAGE_CONSTRAINED,1.0,0.0,0.0
20260906,3,1b0d2271e842e01a,HARD_EVALUABLE,R1_SIGNED_CP_RESPONSE,800,SAFETY_FIRST,1.0,0.0,0.0
20260906,3,1b0d2271e842e01a,HARD_EVALUABLE,R2_VISUAL_CONDITIONED_CP_RESPONSE,200,COVERAGE_CONSTRAINED,1.0,0.0,0.0
20260906,3,1b0d2271e842e01a,HARD_EVALUABLE,R2_VISUAL_CONDITIONED_CP_RESPONSE,200,SAFETY_FIRST,1.0,0.0,0.0
20260906,3,1b0d2271e842e01a,HARD_EVALUABLE,R2_VISUAL_CONDITIONED_CP_RESPONSE,800,COVERAGE_CONSTRAINED,1.0,0.0,0.0
20260906,3,1b0d2271e842e01a,HARD_EVALUABLE,R2_VISUAL_CONDITIONED_CP_RESPONSE,800,SAFETY_FIRST,1.0,0.0,0.0
20260906,4,029f61ab6aaeeef1,BROAD_ONLY,R0_MAGNITUDE_LAST_PROMPT,200,COVERAGE_CONSTRAINED,1.0,,0.0
20260906,4,029f61ab6aaeeef1,BROAD_ONLY,R0_MAGNITUDE_LAST_PROMPT,200,SAFETY_FIRST,1.0,,0.0
20260906,4,029f61ab6aaeeef1,BROAD_ONLY,R0_MAGNITUDE_LAST_PROMPT,800,COVERAGE_CONSTRAINED,1.0,,0.0
20260906,4,029f61ab6aaeeef1,BROAD_ONLY,R0_MAGNITUDE_LAST_PROMPT,800,SAFETY_FIRST,1.0,,0.0
20260906,4,029f61ab6aaeeef1,BROAD_ONLY,R1_SIGNED_CP_RESPONSE,200,COVERAGE_CONSTRAINED,1.0,,0.0
20260906,4,029f61ab6aaeeef1,BROAD_ONLY,R1_SIGNED_CP_RESPONSE,200,SAFETY_FIRST,1.0,,0.0
20260906,4,029f61ab6aaeeef1,BROAD_ONLY,R1_SIGNED_CP_RESPONSE,800,COVERAGE_CONSTRAINED,1.0,,0.0
20260906,4,029f61ab6aaeeef1,BROAD_ONLY,R1_SIGNED_CP_RESPONSE,800,SAFETY_FIRST,1.0,,0.0
20260906,4,029f61ab6aaeeef1,BROAD_ONLY,R2_VISUAL_CONDITIONED_CP_RESPONSE,200,COVERAGE_CONSTRAINED,1.0,,0.0
20260906,4,029f61ab6aaeeef1,BROAD_ONLY,R2_VISUAL_CONDITIONED_CP_RESPONSE,200,SAFETY_FIRST,1.0,,0.0
20260906,4,029f61ab6aaeeef1,BROAD_ONLY,R2_VISUAL_CONDITIONED_CP_RESPONSE,800,COVERAGE_CONSTRAINED,1.0,,0.0
20260906,4,029f61ab6aaeeef1,BROAD_ONLY,R2_VISUAL_CONDITIONED_CP_RESPONSE,800,SAFETY_FIRST,1.0,,0.0
20260906,5,1607639d73eb56a8,BROAD_ONLY,R0_MAGNITUDE_LAST_PROMPT,200,COVERAGE_CONSTRAINED,1.0,0.0,0.0
20260906,5,1607639d73eb56a8,BROAD_ONLY,R0_MAGNITUDE_LAST_PROMPT,200,SAFETY_FIRST,1.0,0.0,0.0
