seed,event_index,opaque_edit,condition,task,n,exact,semantic,cap_without_eos
20260906,1,01223e258bbc7a1f,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260906,1,01223e258bbc7a1f,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260906,1,01223e258bbc7a1f,CP_NATIVE_CONTINUE_80,T2G,3,2,3,0
20260906,1,01223e258bbc7a1f,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260906,1,01223e258bbc7a1f,CP_NATIVE_ORIGINAL,T1G,4,4,4,0
20260906,1,01223e258bbc7a1f,CP_NATIVE_ORIGINAL,T2G,3,1,3,0
20260906,1,01223e258bbc7a1f,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260906,1,01223e258bbc7a1f,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,4,0
20260906,1,01223e258bbc7a1f,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,3,2,2,0
20260906,2,1534fc99d84ef734,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260906,2,1534fc99d84ef734,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260906,2,1534fc99d84ef734,CP_NATIVE_CONTINUE_80,T2G,4,1,2,1
20260906,2,1534fc99d84ef734,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260906,2,1534fc99d84ef734,CP_NATIVE_ORIGINAL,T1G,4,1,1,0
20260906,2,1534fc99d84ef734,CP_NATIVE_ORIGINAL,T2G,4,1,2,0
20260906,2,1534fc99d84ef734,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260906,2,1534fc99d84ef734,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,4,0
20260906,2,1534fc99d84ef734,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,4,3,4,0
20260906,3,1b0d2271e842e01a,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260906,3,1b0d2271e842e01a,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260906,3,1b0d2271e842e01a,CP_NATIVE_CONTINUE_80,T1L,5,0,0,0
20260906,3,1b0d2271e842e01a,CP_NATIVE_CONTINUE_80,T2G,3,2,2,0
20260906,3,1b0d2271e842e01a,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260906,3,1b0d2271e842e01a,CP_NATIVE_ORIGINAL,T1G,4,4,4,0
20260906,3,1b0d2271e842e01a,CP_NATIVE_ORIGINAL,T1L,5,0,0,0
20260906,3,1b0d2271e842e01a,CP_NATIVE_ORIGINAL,T2G,3,1,2,0
20260906,3,1b0d2271e842e01a,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260906,3,1b0d2271e842e01a,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,4,0
20260906,3,1b0d2271e842e01a,CP_NATIVE_PLUS_PARAPHRASE_80,T1L,5,0,0,0
20260906,3,1b0d2271e842e01a,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,3,2,2,0
20260906,4,029f61ab6aaeeef1,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260906,4,029f61ab6aaeeef1,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260906,4,029f61ab6aaeeef1,CP_NATIVE_CONTINUE_80,T2G,4,3,3,0
20260906,4,029f61ab6aaeeef1,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260906,4,029f61ab6aaeeef1,CP_NATIVE_ORIGINAL,T1G,4,4,4,0
20260906,4,029f61ab6aaeeef1,CP_NATIVE_ORIGINAL,T2G,4,1,1,0
20260906,4,029f61ab6aaeeef1,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260906,4,029f61ab6aaeeef1,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,4,0
20260906,4,029f61ab6aaeeef1,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,4,4,4,0
20260906,5,1607639d73eb56a8,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260906,5,1607639d73eb56a8,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260906,5,1607639d73eb56a8,CP_NATIVE_CONTINUE_80,T1L,3,3,3,0
20260906,5,1607639d73eb56a8,CP_NATIVE_CONTINUE_80,T2G,4,3,4,0
20260906,5,1607639d73eb56a8,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260906,5,1607639d73eb56a8,CP_NATIVE_ORIGINAL,T1G,4,4,4,0
20260906,5,1607639d73eb56a8,CP_NATIVE_ORIGINAL,T1L,3,3,3,0
20260906,5,1607639d73eb56a8,CP_NATIVE_ORIGINAL,T2G,4,2,3,0
20260906,5,1607639d73eb56a8,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260906,5,1607639d73eb56a8,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,4,0
20260906,5,1607639d73eb56a8,CP_NATIVE_PLUS_PARAPHRASE_80,T1L,3,3,3,0
20260906,5,1607639d73eb56a8,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,4,3,4,0
20260906,6,3c85dca5f44ddb09,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260906,6,3c85dca5f44ddb09,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260906,6,3c85dca5f44ddb09,CP_NATIVE_CONTINUE_80,T1L,2,2,2,0
20260906,6,3c85dca5f44ddb09,CP_NATIVE_CONTINUE_80,T2G,3,3,3,0
20260906,6,3c85dca5f44ddb09,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260906,6,3c85dca5f44ddb09,CP_NATIVE_ORIGINAL,T1G,4,4,4,0
20260906,6,3c85dca5f44ddb09,CP_NATIVE_ORIGINAL,T1L,2,2,2,0
20260906,6,3c85dca5f44ddb09,CP_NATIVE_ORIGINAL,T2G,3,0,1,0
20260906,6,3c85dca5f44ddb09,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260906,6,3c85dca5f44ddb09,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,4,0
20260906,6,3c85dca5f44ddb09,CP_NATIVE_PLUS_PARAPHRASE_80,T1L,2,2,2,0
20260906,6,3c85dca5f44ddb09,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,3,3,3,0
20260906,7,13d861159cbf9477,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260906,7,13d861159cbf9477,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260906,7,13d861159cbf9477,CP_NATIVE_CONTINUE_80,T2G,4,3,3,0
20260906,7,13d861159cbf9477,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260906,7,13d861159cbf9477,CP_NATIVE_ORIGINAL,T1G,4,4,4,0
20260906,7,13d861159cbf9477,CP_NATIVE_ORIGINAL,T2G,4,2,3,0
