seed,event_index,opaque_edit,condition,task,n,exact,semantic,cap_without_eos
20260906,7,13d861159cbf9477,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260906,7,13d861159cbf9477,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,4,0
20260906,7,13d861159cbf9477,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,4,4,4,0
20260906,8,06e9147a95404227,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260906,8,06e9147a95404227,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260906,8,06e9147a95404227,CP_NATIVE_CONTINUE_80,T2G,3,3,3,0
20260906,8,06e9147a95404227,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260906,8,06e9147a95404227,CP_NATIVE_ORIGINAL,T1G,4,4,4,0
20260906,8,06e9147a95404227,CP_NATIVE_ORIGINAL,T2G,3,1,1,0
20260906,8,06e9147a95404227,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260906,8,06e9147a95404227,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,4,0
20260906,8,06e9147a95404227,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,3,3,3,0
20260906,9,0b2d75291d40cb7c,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260906,9,0b2d75291d40cb7c,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260906,9,0b2d75291d40cb7c,CP_NATIVE_CONTINUE_80,T1L,2,1,1,0
20260906,9,0b2d75291d40cb7c,CP_NATIVE_CONTINUE_80,T2G,4,3,3,0
20260906,9,0b2d75291d40cb7c,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260906,9,0b2d75291d40cb7c,CP_NATIVE_ORIGINAL,T1G,4,4,4,0
20260906,9,0b2d75291d40cb7c,CP_NATIVE_ORIGINAL,T1L,2,1,1,0
20260906,9,0b2d75291d40cb7c,CP_NATIVE_ORIGINAL,T2G,4,3,3,0
20260906,9,0b2d75291d40cb7c,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260906,9,0b2d75291d40cb7c,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,4,0
20260906,9,0b2d75291d40cb7c,CP_NATIVE_PLUS_PARAPHRASE_80,T1L,2,1,1,0
20260906,9,0b2d75291d40cb7c,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,4,3,3,0
20260906,10,12455e8fcf87ab67,CP_NATIVE_CONTINUE_80,T0,1,1,0,0
20260906,10,12455e8fcf87ab67,CP_NATIVE_CONTINUE_80,T1G,4,4,0,0
20260906,10,12455e8fcf87ab67,CP_NATIVE_CONTINUE_80,T2G,4,3,0,0
20260906,10,12455e8fcf87ab67,CP_NATIVE_ORIGINAL,T0,1,1,0,0
20260906,10,12455e8fcf87ab67,CP_NATIVE_ORIGINAL,T1G,4,4,0,0
20260906,10,12455e8fcf87ab67,CP_NATIVE_ORIGINAL,T2G,4,3,0,0
20260906,10,12455e8fcf87ab67,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,0,0
20260906,10,12455e8fcf87ab67,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,0,0
20260906,10,12455e8fcf87ab67,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,4,3,0,0
20260906,11,0278a8fed3c9c842,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260906,11,0278a8fed3c9c842,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260906,11,0278a8fed3c9c842,CP_NATIVE_CONTINUE_80,T2G,4,2,2,0
20260906,11,0278a8fed3c9c842,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260906,11,0278a8fed3c9c842,CP_NATIVE_ORIGINAL,T1G,4,4,4,0
20260906,11,0278a8fed3c9c842,CP_NATIVE_ORIGINAL,T2G,4,0,1,0
20260906,11,0278a8fed3c9c842,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260906,11,0278a8fed3c9c842,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,4,0
20260906,11,0278a8fed3c9c842,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,4,4,4,0
20260906,12,319cba8ffa622b0e,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260906,12,319cba8ffa622b0e,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260906,12,319cba8ffa622b0e,CP_NATIVE_CONTINUE_80,T1L,4,0,0,0
20260906,12,319cba8ffa622b0e,CP_NATIVE_CONTINUE_80,T2G,4,3,3,0
20260906,12,319cba8ffa622b0e,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260906,12,319cba8ffa622b0e,CP_NATIVE_ORIGINAL,T1G,4,4,4,0
20260906,12,319cba8ffa622b0e,CP_NATIVE_ORIGINAL,T1L,4,0,0,0
20260906,12,319cba8ffa622b0e,CP_NATIVE_ORIGINAL,T2G,4,1,3,0
20260906,12,319cba8ffa622b0e,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260906,12,319cba8ffa622b0e,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,4,0
20260906,12,319cba8ffa622b0e,CP_NATIVE_PLUS_PARAPHRASE_80,T1L,4,0,0,0
20260906,12,319cba8ffa622b0e,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,4,3,3,0
20260906,13,1379df4696783d47,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260906,13,1379df4696783d47,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260906,13,1379df4696783d47,CP_NATIVE_CONTINUE_80,T2G,4,1,2,0
20260906,13,1379df4696783d47,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260906,13,1379df4696783d47,CP_NATIVE_ORIGINAL,T1G,4,4,4,0
20260906,13,1379df4696783d47,CP_NATIVE_ORIGINAL,T2G,4,1,2,0
20260906,13,1379df4696783d47,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260906,13,1379df4696783d47,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,4,0
20260906,13,1379df4696783d47,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,4,3,1,0
20260906,14,152d5bee9d9058e0,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260906,14,152d5bee9d9058e0,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260906,14,152d5bee9d9058e0,CP_NATIVE_CONTINUE_80,T2G,3,2,2,0
20260906,14,152d5bee9d9058e0,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260906,14,152d5bee9d9058e0,CP_NATIVE_ORIGINAL,T1G,4,4,4,0
20260906,14,152d5bee9d9058e0,CP_NATIVE_ORIGINAL,T2G,3,1,1,0
20260906,14,152d5bee9d9058e0,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260906,14,152d5bee9d9058e0,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,4,0
20260906,14,152d5bee9d9058e0,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,3,3,3,0
20260906,15,11999d89b31d5f06,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260906,15,11999d89b31d5f06,CP_NATIVE_CONTINUE_80,T1G,2,2,2,0
20260906,15,11999d89b31d5f06,CP_NATIVE_CONTINUE_80,T1L,5,2,2,0
20260906,15,11999d89b31d5f06,CP_NATIVE_CONTINUE_80,T2G,4,3,3,0
20260906,15,11999d89b31d5f06,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260906,15,11999d89b31d5f06,CP_NATIVE_ORIGINAL,T1G,2,2,2,0
20260906,15,11999d89b31d5f06,CP_NATIVE_ORIGINAL,T1L,5,2,2,0
20260906,15,11999d89b31d5f06,CP_NATIVE_ORIGINAL,T2G,4,3,4,0
20260906,15,11999d89b31d5f06,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260906,15,11999d89b31d5f06,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,2,2,2,0
20260906,15,11999d89b31d5f06,CP_NATIVE_PLUS_PARAPHRASE_80,T1L,5,2,2,0
20260906,15,11999d89b31d5f06,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,4,3,3,0
20260906,16,30c09c9279241ba5,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260906,16,30c09c9279241ba5,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260906,16,30c09c9279241ba5,CP_NATIVE_CONTINUE_80,T1L,5,0,0,0
20260906,16,30c09c9279241ba5,CP_NATIVE_CONTINUE_80,T2G,4,1,2,0
20260906,16,30c09c9279241ba5,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260906,16,30c09c9279241ba5,CP_NATIVE_ORIGINAL,T1G,4,4,4,0
20260906,16,30c09c9279241ba5,CP_NATIVE_ORIGINAL,T1L,5,0,0,0
20260906,16,30c09c9279241ba5,CP_NATIVE_ORIGINAL,T2G,4,0,0,0
20260906,16,30c09c9279241ba5,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260906,16,30c09c9279241ba5,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,4,0
20260906,16,30c09c9279241ba5,CP_NATIVE_PLUS_PARAPHRASE_80,T1L,5,0,0,0
20260906,16,30c09c9279241ba5,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,4,3,4,0
20260907,1,01223e258bbc7a1f,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260907,1,01223e258bbc7a1f,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260907,1,01223e258bbc7a1f,CP_NATIVE_CONTINUE_80,T2G,3,2,2,0
20260907,1,01223e258bbc7a1f,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260907,1,01223e258bbc7a1f,CP_NATIVE_ORIGINAL,T1G,4,4,4,0
20260907,1,01223e258bbc7a1f,CP_NATIVE_ORIGINAL,T2G,3,0,1,0
20260907,1,01223e258bbc7a1f,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260907,1,01223e258bbc7a1f,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,4,0
20260907,1,01223e258bbc7a1f,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,3,3,3,0
20260907,2,1534fc99d84ef734,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260907,2,1534fc99d84ef734,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260907,2,1534fc99d84ef734,CP_NATIVE_CONTINUE_80,T2G,4,1,2,2
20260907,2,1534fc99d84ef734,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260907,2,1534fc99d84ef734,CP_NATIVE_ORIGINAL,T1G,4,4,4,0
20260907,2,1534fc99d84ef734,CP_NATIVE_ORIGINAL,T2G,4,1,4,1
20260907,2,1534fc99d84ef734,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260907,2,1534fc99d84ef734,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,4,0
20260907,2,1534fc99d84ef734,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,4,2,3,1
20260907,3,1b0d2271e842e01a,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260907,3,1b0d2271e842e01a,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260907,3,1b0d2271e842e01a,CP_NATIVE_CONTINUE_80,T1L,5,0,0,0
20260907,3,1b0d2271e842e01a,CP_NATIVE_CONTINUE_80,T2G,3,2,2,0
20260907,3,1b0d2271e842e01a,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260907,3,1b0d2271e842e01a,CP_NATIVE_ORIGINAL,T1G,4,4,4,0
20260907,3,1b0d2271e842e01a,CP_NATIVE_ORIGINAL,T1L,5,0,0,0
20260907,3,1b0d2271e842e01a,CP_NATIVE_ORIGINAL,T2G,3,0,0,0
20260907,3,1b0d2271e842e01a,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260907,3,1b0d2271e842e01a,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,4,0
20260907,3,1b0d2271e842e01a,CP_NATIVE_PLUS_PARAPHRASE_80,T1L,5,0,0,0
20260907,3,1b0d2271e842e01a,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,3,2,2,0
20260907,4,029f61ab6aaeeef1,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260907,4,029f61ab6aaeeef1,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260907,4,029f61ab6aaeeef1,CP_NATIVE_CONTINUE_80,T2G,4,3,3,0
20260907,4,029f61ab6aaeeef1,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260907,4,029f61ab6aaeeef1,CP_NATIVE_ORIGINAL,T1G,4,4,4,0
20260907,4,029f61ab6aaeeef1,CP_NATIVE_ORIGINAL,T2G,4,0,1,0
20260907,4,029f61ab6aaeeef1,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260907,4,029f61ab6aaeeef1,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,4,0
20260907,4,029f61ab6aaeeef1,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,4,4,4,0
20260907,5,1607639d73eb56a8,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260907,5,1607639d73eb56a8,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260907,5,1607639d73eb56a8,CP_NATIVE_CONTINUE_80,T1L,3,3,3,0
20260907,5,1607639d73eb56a8,CP_NATIVE_CONTINUE_80,T2G,4,2,3,0
20260907,5,1607639d73eb56a8,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260907,5,1607639d73eb56a8,CP_NATIVE_ORIGINAL,T1G,4,4,4,0
20260907,5,1607639d73eb56a8,CP_NATIVE_ORIGINAL,T1L,3,3,3,0
20260907,5,1607639d73eb56a8,CP_NATIVE_ORIGINAL,T2G,4,3,4,0
20260907,5,1607639d73eb56a8,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260907,5,1607639d73eb56a8,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,4,0
20260907,5,1607639d73eb56a8,CP_NATIVE_PLUS_PARAPHRASE_80,T1L,3,3,3,0
20260907,5,1607639d73eb56a8,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,4,3,4,0
20260907,6,3c85dca5f44ddb09,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260907,6,3c85dca5f44ddb09,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260907,6,3c85dca5f44ddb09,CP_NATIVE_CONTINUE_80,T1L,2,2,2,0
20260907,6,3c85dca5f44ddb09,CP_NATIVE_CONTINUE_80,T2G,3,3,3,0
20260907,6,3c85dca5f44ddb09,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260907,6,3c85dca5f44ddb09,CP_NATIVE_ORIGINAL,T1G,4,4,4,0
20260907,6,3c85dca5f44ddb09,CP_NATIVE_ORIGINAL,T1L,2,2,2,0
20260907,6,3c85dca5f44ddb09,CP_NATIVE_ORIGINAL,T2G,3,2,2,0
20260907,6,3c85dca5f44ddb09,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260907,6,3c85dca5f44ddb09,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,4,0
20260907,6,3c85dca5f44ddb09,CP_NATIVE_PLUS_PARAPHRASE_80,T1L,2,2,2,0
20260907,6,3c85dca5f44ddb09,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,3,3,3,0
20260907,7,13d861159cbf9477,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260907,7,13d861159cbf9477,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260907,7,13d861159cbf9477,CP_NATIVE_CONTINUE_80,T2G,4,3,3,0
20260907,7,13d861159cbf9477,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260907,7,13d861159cbf9477,CP_NATIVE_ORIGINAL,T1G,4,4,4,0
20260907,7,13d861159cbf9477,CP_NATIVE_ORIGINAL,T2G,4,3,3,0
20260907,7,13d861159cbf9477,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260907,7,13d861159cbf9477,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,4,0
20260907,7,13d861159cbf9477,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,4,4,4,0
20260907,8,06e9147a95404227,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260907,8,06e9147a95404227,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260907,8,06e9147a95404227,CP_NATIVE_CONTINUE_80,T2G,3,3,3,0
20260907,8,06e9147a95404227,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260907,8,06e9147a95404227,CP_NATIVE_ORIGINAL,T1G,4,4,4,0
20260907,8,06e9147a95404227,CP_NATIVE_ORIGINAL,T2G,3,3,3,0
20260907,8,06e9147a95404227,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260907,8,06e9147a95404227,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,4,0
20260907,8,06e9147a95404227,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,3,3,3,0
20260907,9,0b2d75291d40cb7c,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260907,9,0b2d75291d40cb7c,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260907,9,0b2d75291d40cb7c,CP_NATIVE_CONTINUE_80,T1L,2,1,1,0
20260907,9,0b2d75291d40cb7c,CP_NATIVE_CONTINUE_80,T2G,4,3,3,0
20260907,9,0b2d75291d40cb7c,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260907,9,0b2d75291d40cb7c,CP_NATIVE_ORIGINAL,T1G,4,4,4,0
20260907,9,0b2d75291d40cb7c,CP_NATIVE_ORIGINAL,T1L,2,1,1,0
20260907,9,0b2d75291d40cb7c,CP_NATIVE_ORIGINAL,T2G,4,2,3,0
20260907,9,0b2d75291d40cb7c,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260907,9,0b2d75291d40cb7c,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,4,0
20260907,9,0b2d75291d40cb7c,CP_NATIVE_PLUS_PARAPHRASE_80,T1L,2,1,1,0
20260907,9,0b2d75291d40cb7c,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,4,3,3,0
20260907,10,12455e8fcf87ab67,CP_NATIVE_CONTINUE_80,T0,1,1,0,0
20260907,10,12455e8fcf87ab67,CP_NATIVE_CONTINUE_80,T1G,4,4,0,0
20260907,10,12455e8fcf87ab67,CP_NATIVE_CONTINUE_80,T2G,4,3,0,0
20260907,10,12455e8fcf87ab67,CP_NATIVE_ORIGINAL,T0,1,1,0,0
20260907,10,12455e8fcf87ab67,CP_NATIVE_ORIGINAL,T1G,4,4,0,0
20260907,10,12455e8fcf87ab67,CP_NATIVE_ORIGINAL,T2G,4,3,0,0
20260907,10,12455e8fcf87ab67,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,0,0
20260907,10,12455e8fcf87ab67,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,0,0
20260907,10,12455e8fcf87ab67,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,4,3,0,0
20260907,11,0278a8fed3c9c842,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260907,11,0278a8fed3c9c842,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260907,11,0278a8fed3c9c842,CP_NATIVE_CONTINUE_80,T2G,4,0,1,0
20260907,11,0278a8fed3c9c842,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260907,11,0278a8fed3c9c842,CP_NATIVE_ORIGINAL,T1G,4,4,4,0
20260907,11,0278a8fed3c9c842,CP_NATIVE_ORIGINAL,T2G,4,1,1,0
20260907,11,0278a8fed3c9c842,CP_NATIVE_PLUS_PARAPHRASE_80,T0,1,1,1,0
20260907,11,0278a8fed3c9c842,CP_NATIVE_PLUS_PARAPHRASE_80,T1G,4,4,4,0
20260907,11,0278a8fed3c9c842,CP_NATIVE_PLUS_PARAPHRASE_80,T2G,4,4,4,0
20260907,12,319cba8ffa622b0e,CP_NATIVE_CONTINUE_80,T0,1,1,1,0
20260907,12,319cba8ffa622b0e,CP_NATIVE_CONTINUE_80,T1G,4,4,4,0
20260907,12,319cba8ffa622b0e,CP_NATIVE_CONTINUE_80,T1L,4,0,0,0
20260907,12,319cba8ffa622b0e,CP_NATIVE_CONTINUE_80,T2G,4,2,3,0
20260907,12,319cba8ffa622b0e,CP_NATIVE_ORIGINAL,T0,1,1,1,0
20260907,12,319cba8ffa622b0e,CP_NATIVE_ORIGINAL,T1G,4,4,4,0
